MJD & Phase & Instrument & Telescope & Filter & AB Mag & 1sig Error & DMag & Ref & Note \\
57983.995 & 1.466 &  E2V 4kx4k ccd & Swope & V & 18.22 & 0.04 &  0 &\citeauthor{SwopeDiscovery}&*\\
57983.995 & 1.466 &  T80Cam  & T80S & g & 18.60 & 0.04 &  0 &\citeauthor{diaz2017observations}&*\\
57983.996 & 1.467 &  T80Cam  & T80S & g & 18.63 & 0.04 &  0 &\citeauthor{diaz2017observations}&*\\
57983.997 & 1.468 &  T80Cam  & T80S & r & 18.02 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57983.999 & 1.470 &  T80Cam  & T80S & r & 18.02 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57983.999 & 1.470 & VIRCAM & VISTA & Y & 17.23 & 0.01 &  0 &\citeauthor{tanvir2017emergence}&*\\
57984.000 & 1.471 &  T80Cam  & T80S & r & 18.04 & 0.02 &  0 &\citeauthor{diaz2017observations}&*\\
57984.000 & 1.471 & XS & VLT & r & 17.95 & 0.02 &  0 &\citeauthor{pian2017spectroscopic}&*\\
57984.000 & 1.471 & XS & VLT & z & 17.65 & 0.07 &  0 &\citeauthor{pian2017spectroscopic}&*\\
57984.000 & 1.471 & FLAMINGOS-2 & Gemini-S & H & 17.63 & 0.10 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57984.001 & 1.472 &  T80Cam  & T80S & i & 17.74 & 0.02 &  0 &\citeauthor{diaz2017observations}&*\\
57984.002 & 1.473 &  T80Cam  & T80S & i & 17.86 & 0.03 &0 &  \citeauthor{diaz2017observations}&*\\
57984.002 & 1.473 & FourStar & Magellan & J1 & 17.32 & 0.01 & 0 & \citeauthor{drout2017light}&*\\
57984.003 & 1.474 &  T80Cam  & T80S & i & 17.85 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57984.004 & 1.475 &  T80Cam  & T80S & g & 18.69 & 0.04 & 0 & \citeauthor{diaz2017observations}&*\\
57984.005 & 1.476 &  T80Cam  & T80S & g & 18.67 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57984.007 & 1.478 &  T80Cam  & T80S & g & 18.62 & 0.04 & 0 & \citeauthor{diaz2017observations}&*\\
57984.008 & 1.479 &  T80Cam  & T80S & r & 18.01 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57984.009 & 1.480 &  T80Cam  & T80S & r & 18.01 & 0.02 &  0 &\citeauthor{diaz2017observations}&*\\
57984.010 & 1.481 &  T80Cam  & T80S & r & 18.07 & 0.03 &  0 &\citeauthor{diaz2017observations}&*\\
57984.010 & 1.481 &  T80Cam  & Prompt5 & r & 18.29 & 0.06 &  0 &\citeauthor{valenti2017discovery}&*\\
57984.010 & 1.481 & EFOSC2 & NTT & V & 18.14 & 0.04 & 0 & \citeauthor{drout2017light}&*\\
57984.011 & 1.482 &  T80Cam  & T80S & i & 17.82 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57984.012 & 1.483 & EFOSC2 & NTT & V & 18.16 & 0.06 &  0 &\citeauthor{drout2017light}&*\\
57984.012 & 1.483 &  T80Cam  & T80S & i & 17.77 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57984.013 & 1.484 & EFOSC2 & NTT & V & 18.18 & 0.04 & 0 & \citeauthor{drout2017light}&*\\
57984.013 & 1.484 &  T80Cam  & T80S & i & 17.87 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57984.014 & 1.485 &  T80Cam  & T80S & g & 18.68 & 0.04 & 0 & \citeauthor{diaz2017observations}&*\\
57984.016 & 1.487 &  T80Cam  & T80S & g & 18.67 & 0.04 & 0 & \citeauthor{diaz2017observations}&*\\
57984.017 & 1.488 &  T80Cam  & T80S & g & 18.57 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57984.018 & 1.489 &  T80Cam  & T80S & r & 18.03 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57984.019 & 1.490 &  T80Cam  & T80S & r & 18.05 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57984.020 & 1.491 &  T80Cam  & T80S & r & 18.04 & 0.02 & 0 & \citeauthor{diaz2017observations}&*\\
57984.021 & 1.492 &  T80Cam  & T80S & i & 17.83 & 0.03 &  0 &\citeauthor{diaz2017observations}&*\\
57984.022 & 1.493 &  T80Cam  & T80S & i & 17.90 & 0.03 &  0 &\citeauthor{diaz2017observations}&*\\
57984.023 & 1.494 &  T80Cam  & T80S & i & 17.88 & 0.03 & 0 & \citeauthor{diaz2017observations}&*\\
57984.034 & 1.505 &  E2V 4kx4k ccd & Swope & B & 19.07 & 0.04 & 0 & \citeauthor{SwopeDiscovery}&*\\
57984.036& 1.507 & UVOT & Swift & U & 20.79 & 0.50 & 0 & \citeauthor{evans2017swift}&*\\
57984.036 & 1.507 & UVOT & Swift & W2 & $>$21.66 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.044 & 1.515 &  E2V 4kx4k ccd & Swope & i & 17.80 & 0.02 & 0 & \citeauthor{SwopeDiscovery}&*\\
57984.046 & 1.517 & EFOSC2 & NTT & V & 18.25 & 0.06 & 0 & \citeauthor{drout2017light}&*\\
57984.047 & 1.518 & EFOSC2 & NTT & V & 18.18 & 0.10 & 0 & \citeauthor{drout2017light}&*\\
57984.047 & 1.518 &  E2V 4kx4k ccd & Swope & r & 17.98 & 0.02 & 0 & \citeauthor{SwopeDiscovery}&*\\
57984.048 & 1.519 & EFOSC2 & NTT & U & 20.11 & 0.23 &  0 &\citeauthor{drout2017light}&R\\
57984.048 & 1.519 & EFOSC2 & NTT & U & 20.25 & 0.29 &  0 &\citeauthor{smartt2017kilonova}&R\\
57984.052 & 1.523 & EFOSC2 & NTT & U & 20.21 & 0.28 & 0 & \citeauthor{drout2017light}&R\\
57984.052 & 1.523 & EFOSC2 & NTT & U & 20.18 & 0.23 & 0 & this paper&*,A\\
57984.052 & 1.523 & UVOT & Swift & M2 & $>$22.07 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.055 & 1.526 &  E2V 4kx4k ccd & Swope & g & 18.49 & 0.12 & 0 & \citeauthor{SwopeDiscovery}&*\\
57984.056 & 1.527 & EFOSC2 & NTT & U & 20.10 & 0.28 & 0 & \citeauthor{drout2017light}&*\\
57984.058 & 1.529 & UVOT & Swift & W1 & $>$21.20 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.229 & 1.700 & HSC & Subaru & z & 17.74 & 0.01 & 0 & \citeauthor{utsumi2017j}&*\\
57984.231 & 1.702 & GFC & Pan-STARRS & i & 17.87 & 0.06 & 0 & \citeauthor{smartt2017kilonova}&*\\
57984.231 & 1.702 & GFC & Pan-STARRS & y & 17.58 & 0.11 & 0 & \citeauthor{smartt2017kilonova}&*\\
57984.231 & 1.702 & GFC & Pan-STARRS & z & 17.78 & 0.07 & 0 & \citeauthor{smartt2017kilonova}&*\\
57984.309 & 1.780 & Tripol5 & B\&C & g & 18.80 & 0.07 & 0 & \citeauthor{utsumi2017j}&*\\
57984.309 & 1.780 & Tripol5 & B\&C & i & 18.19 & 0.06 & 0 & \citeauthor{utsumi2017j}&*\\
57984.309 & 1.780 & Tripol5 & B\&C & r & 18.26 & 0.04 & 0 & \citeauthor{utsumi2017j}&*\\
57984.357 & 1.828 & Sinistro & LCO 1m & w & 18.69 & 0.05 & 0 & \citeauthor{arcavi2017optical}&X\\
57984.359 & 1.830 &  -  & KMTNet-SSO & B & 20.10 & 0.12 & 0 & \citeauthor{troja2017x}&*\\
57984.359 & 1.830 &  -  & KMTNet-SSO & V & 18.79 & 0.05 &  0 &\citeauthor{troja2017x}&*\\
57984.361 & 1.832 & Sinistro & LCO 1m & i & 18.07 & 0.13 & -0.30 & \citeauthor{arcavi2017optical}&*\\
57984.365 & 1.836 & Sinistro & LCO 1m & r & 18.34 & 0.11 & -0.06 & \citeauthor{arcavi2017optical}&*\\
57984.369 & 1.840 &  -  & KMTNet-SSO & I & 17.98 & 0.09 & 0 & \citeauthor{troja2017x}&*\\
57984.369 & 1.840 &  -  & KMTNet-SSO & R & 18.34 & 0.05 & 0 & \citeauthor{troja2017x}&*\\
57984.369 & 1.840 & Sinistro & LCO 1m & g & 19.28 & 0.17 & -0.25 & \citeauthor{arcavi2017optical}&*\\
57984.379 & 1.850 & Skymapper & Skymapper & i & 17.96 & 0.07 & 0 & \citeauthor{andreoni2017}&*\\
57984.392 & 1.863 & Skymapper & Skymapper & i & 18.18 & 0.08 & 0 & \citeauthor{andreoni2017}&*\\
57984.456 & 1.927 & Skymapper & Skymapper & r & 18.46 & 0.17 & 0 & \citeauthor{andreoni2017}&*\\
57984.601 & 2.072 & UVOT & Swift & M2 & $>$21.97 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.606 & 2.077 & UVOT & Swift & W1 & $>$21.79 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.628 & 2.099 & UVOT & Swift & W2 & $>$21.98 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.699 & 2.170 & SIRIUS & IRSF & H & 17.52 & 0.04 & 0 & \citeauthor{utsumi2017j}&*\\
57984.699 & 2.170 & SIRIUS & IRSF & J & 17.69 & 0.04 & 0 & \citeauthor{utsumi2017j}&*\\
57984.699 & 2.170 & SIRIUS & IRSF & Ks & 17.61 & 0.04 & 0 & \citeauthor{utsumi2017j}&*\\
57984.717 & 2.188 &  MASTER  & SAAO & W & 18.40 & 0.20 & 0 & \citeauthor{lipunov2017master}&*\\
57984.719 & 2.190 &  -  & KMTNet-SAAO & B & 20.45 & 0.09 & 0 & \citeauthor{troja2017x}&*\\
57984.719 & 2.190 &  -  & KMTNet-SAAO & I & 18.26 & 0.12 & 0 & \citeauthor{troja2017x}&*\\
57984.719 & 2.190 &  -  & KMTNet-SAAO & R & 18.59 & 0.05 & 0 & \citeauthor{troja2017x}&*\\
57984.719 & 2.190 &  -  & KMTNet-SAAO & V & 19.25 & 0.05 &  0 &\citeauthor{troja2017x}&*\\
57984.738 & 2.209 & Sinistro & LCO 1m & r & 18.93 & 0.10 &  -0.10 &\citeauthor{arcavi2017optical}&*\\
57984.741 & 2.212 & Sinistro & LCO 1m & r & 18.90 & 0.11 & -0.10 & \citeauthor{arcavi2017optical}&*\\
57984.745 & 2.216 & Sinistro & LCO 1m & i & 18.33 & 0.12 & -0.41 & \citeauthor{arcavi2017optical}&*\\
57984.748 & 2.219 & Sinistro & LCO 1m & i & 18.26 & 0.15 & -0.38 & \citeauthor{arcavi2017optical}&*\\
57984.749 & 2.220 &  MASTER  & SAAO & R & 18.00 & 0.30 & 0 & \citeauthor{lipunov2017master}&*,O\\
57984.751 & 2.222 & Sinistro & LCO 1m & V & 19.06 & 0.07 & 0 & \citeauthor{arcavi2017optical}&*\\
57984.751 & 2.222 & Sinistro & LCO 1m & z & 18.25 & 0.30 & -0.58 & \citeauthor{arcavi2017optical}&*\\
57984.757 & 2.228 &  MASTER  & SAAO & B & $>$19.50 & - & 0 & \citeauthor{lipunov2017master}&*\\
57984.758 & 2.229 & Sinistro & LCO 1m & g & 19.93 & 0.21 & -0.51 & \citeauthor{arcavi2017optical}&*\\
57984.758 & 2.229 & Sinistro & LCO 1m & w & 19.11 & 0.06 & 0 & \citeauthor{arcavi2017optical}&X\\
