 ! Swift/XRT detailed lightcurve of trigger: 10724, name: AT2018cow
 ! Swift/XRT lightcurve of trigger: 10724, name: AT2018cow
 ! T0 for this burst is Swift MET=551097137.0 s, = 2018 Jun 19 at 10:31:55.845 UT
 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! PC data
533311.718	50.000	-50.000	2.371505e-01	5.962360e-02	-5.962360e-02	8.884773e-04	5.129626e-04	1.000000
533411.718	50.000	-50.000	2.764641e-01	6.382904e-02	-6.382904e-02	1.184636e-03	5.923182e-04	1.000000
533511.718	50.000	-50.000	2.320586e-01	5.823340e-02	-5.823340e-02	5.923182e-04	4.188322e-04	1.000000
533611.718	50.000	-50.000	2.015434e-01	6.006997e-02	-5.022148e-02	2.073114e-03	7.835634e-04	1.000000
533711.718	50.000	-50.000	2.882902e-01	6.514884e-02	-6.514884e-02	2.073114e-03	7.835634e-04	1.000000
533811.718	50.000	-50.000	2.286848e-01	5.760396e-02	-5.760396e-02	1.184636e-03	5.923182e-04	1.000000
533911.718	50.000	-50.000	2.312069e-01	5.834967e-02	-5.834967e-02	1.480796e-03	6.622319e-04	1.000000
534011.718	50.000	-50.000	2.689084e-01	6.198596e-02	-6.198596e-02	8.884773e-04	5.129626e-04	1.000000
534111.718	50.000	-50.000	2.154530e-01	5.596611e-02	-5.596611e-02	8.945640e-04	5.164768e-04	0.993196
614111.718	50.000	-50.000	2.483868e-01	5.540836e-02	-5.540836e-02	4.854171e-03	1.297332e-03	0.926975
614211.718	50.000	-50.000	2.161101e-01	4.992224e-02	-4.992224e-02	1.285627e-03	6.428134e-04	1.000000
614311.718	50.000	-50.000	1.789299e-01	4.585516e-02	-4.585516e-02	3.856881e-03	1.113386e-03	1.000000
614411.718	50.000	-50.000	2.128428e-01	5.605377e-02	-5.605377e-02	3.690422e-03	1.230141e-03	0.783829
614511.718	50.000	-50.000	1.554515e-01	4.702091e-02	-3.931181e-02	4.136075e-03	1.067930e-03	0.989186
614611.718	50.000	-50.000	2.233816e-01	5.093516e-02	-5.093516e-02	3.818592e-03	1.020562e-03	1.000000
614711.718	50.000	-50.000	1.675358e-01	4.398707e-02	-4.398707e-02	2.454809e-03	8.182697e-04	1.000000
614811.718	50.000	-50.000	1.668637e-01	4.397539e-02	-4.397539e-02	3.000322e-03	9.046312e-04	1.000000
614911.718	50.000	-50.000	1.348141e-01	4.380403e-02	-3.608666e-02	1.909296e-03	7.216460e-04	1.000000
615011.718	50.000	-50.000	1.673661e-01	1.210350e-01	-8.151569e-02	1.357506e-03	1.357506e-03	0.200925
619411.718	50.000	-50.000	1.883150e-01	8.605198e-02	-6.668957e-02	6.213573e-03	1.793704e-03	0.590788
619511.718	50.000	-50.000	1.659220e-01	6.274825e-02	-5.072697e-02	6.424086e-03	1.401851e-03	1.000000
619611.718	50.000	-50.000	2.881481e-01	7.586294e-02	-7.586294e-02	8.227970e-03	1.613638e-03	0.966658
619711.718	50.000	-50.000	1.488364e-01	5.339945e-02	-4.316920e-02	1.720825e-03	7.695765e-04	0.789505
619811.718	50.000	-50.000	1.490557e-01	5.726316e-02	-4.629271e-02	1.079082e-02	2.003804e-03	0.730239
619911.718	50.000	-50.000	1.346350e-01	5.505280e-02	-4.396080e-02	1.008734e-02	1.941309e-03	0.727292
620011.718	50.000	-50.000	1.532191e-01	8.535550e-02	-6.473794e-02	1.232625e-02	2.113935e-03	0.731725
620111.718	50.000	-50.000	2.424303e-01	1.004996e-01	-8.030447e-02	1.159572e-02	2.049853e-03	0.732069
620211.718	50.000	-50.000	2.814344e-01	9.831165e-02	-8.025767e-02	7.811844e-03	1.952961e-03	0.551581
620311.718	50.000	-50.000	2.900278e-01	1.136895e-01	-9.084397e-02	1.083715e-02	2.896350e-03	0.351022
699711.718	50.000	-50.000	1.952975e-01	4.754564e-02	-4.754564e-02	6.303015e-04	4.456904e-04	1.000000
699811.718	50.000	-50.000	2.350170e-01	5.175823e-02	-5.175823e-02	1.890904e-03	7.719585e-04	1.000000
